Order ID,Customer ID,Restaurant Name,Food Category,Item Name,Quantity,Price,Order Date & Time,Delivery Time (min),City,Customer Rating,Delivery Partner
O00046,C1885,Gourmet Express,Sushi,Spicy Tuna,2,18.37,2025-03-30 20:17:39,79.97,Abu Dhabi,2.8,Zomato
O00047,C0951,Gourmet Express,Burgers,Chicken Burger,5,10.35,2025-06-12 17:33:20,65.85,Al Ain,2.8,Zomato
O00048,C0252,Flavor Town,Chinese,Sweet and Sour,4,28.08,2025-02-05 09:15:09,18.25,Al Ain,4.7,Careem NOW
O00049,C0466,Quick Meal,Chinese,Kung Pao Chicken,1,23.26,2025-01-12 10:43:32,75.11,Abu Dhabi,3.3,Deliveroo
O00050,C1461,Quick Meal,Indian,Paneer Tikka,4,12.57,2025-04-08 07:22:32,79.92,Abu Dhabi,2.9,Uber Eats
O00051,C0286,Flavor Town,Indian,Biryani,1,27.91,2025-05-19 09:32:01,18.26,Al Ain,3.2,Zomato
O00052,C0855,Tasty Bites,Indian,Biryani,1,17.39,2025-04-13 07:48:44,46.12,Ajman,3.5,Careem NOW
O00053,C0186,Tasty Bites,Sushi,Veg Roll,4,8.81,2025-04-12 02:22:58,27.91,Dubai,4.0,Deliveroo
O00054,C1106,Quick Meal,Burgers,Chicken Burger,2,8.08,2025-05-23 16:05:55,39.28,Ajman,2.8,Talabat
O00055,C0544,Tasty Bites,Chinese,Sweet and Sour,1,5.39,2025-02-20 15:06:10,62.59,Abu Dhabi,3.3,Deliveroo
O00056,C0005,Foodies Hub,Sushi,Veg Roll,3,23.95,2025-02-18 17:51:31,80.75,Sharjah,3.5,Zomato
O00057,C1159,Tasty Bites,Sushi,Spicy Tuna,2,16.87,2025-03-17 03:42:18,53.28,Abu Dhabi,3.5,Uber Eats
O00058,C0881,Foodies Hub,Sushi,Spicy Tuna,2,9.92,2025-03-02 06:28:57,56.96,Dubai,4.3,Talabat
O00059,C1801,Flavor Town,Sushi,Salmon Nigiri,5,33.72,2025-05-23 23:02:27,86.16,Dubai,4.7,Talabat
O00060,C1614,Quick Meal,Indian,Biryani,3,23.9,2025-01-30 22:13:18,54.17,Dubai,2.9,Deliveroo
O00061,C0248,Gourmet Express,Pizza,Margherita,1,33.29,2025-04-24 00:52:56,30.33,Dubai,4.0,Careem NOW
O00062,C0036,Flavor Town,Burgers,Chicken Burger,3,7.78,2025-05-17 07:26:34,85.38,Al Ain,3.0,Careem NOW
O00063,C0020,Foodies Hub,Sushi,California Roll,4,12.04,2025-06-02 04:14:16,36.1,Al Ain,4.6,Deliveroo
O00064,C1411,Flavor Town,Pizza,BBQ Chicken,5,20.1,2025-02-18 04:16:51,78.45,Dubai,4.0,Uber Eats
O00065,C0889,Gourmet Express,Pizza,Margherita,5,39.4,2025-07-02 05:44:48,17.92,Sharjah,5.0,Talabat
O00066,C1140,Gourmet Express,Indian,Butter Chicken,4,6.98,2025-02-20 23:02:39,89.03,Dubai,3.7,Talabat
O00067,C1482,Flavor Town,Indian,Paneer Tikka,2,24.79,2025-01-26 10:09:22,47.88,Abu Dhabi,4.9,Zomato
O00068,C1689,Gourmet Express,Pizza,Margherita,3,15.71,2025-05-01 23:30:13,29.61,Ajman,3.8,Zomato
O00069,C0877,Flavor Town,Burgers,Veggie Burger,5,40.45,2025-06-30 08:24:24,56.94,Al Ain,3.6,Deliveroo
O00070,C1328,Foodies Hub,Pizza,BBQ Chicken,1,37.93,2025-06-17 09:50:39,27.98,Ajman,4.6,Uber Eats
O00071,C1697,Foodies Hub,Burgers,Chicken Burger,2,29.16,2025-04-17 08:05:08,30.0,Abu Dhabi,3.4,Careem NOW
O00072,C1050,Tasty Bites,Burgers,Cheese Burger,1,43.7,2025-02-25 08:07:34,29.46,Sharjah,3.1,Deliveroo
O00073,C0845,Gourmet Express,Chinese,Spring Rolls,2,25.1,2025-05-07 06:31:01,82.86,Abu Dhabi,4.1,Zomato
O00074,C1911,Quick Meal,Pizza,Veggie,2,24.8,2025-03-31 14:08:27,83.25,Abu Dhabi,5.0,Zomato
O00075,C0839,Flavor Town,Pizza,Pepperoni,5,38.56,2025-02-02 13:17:23,50.11,Abu Dhabi,4.6,Deliveroo
O00076,C1776,Gourmet Express,Burgers,Cheese Burger,3,21.48,2025-01-28 11:09:25,19.79,Ajman,2.6,Uber Eats
O00077,C0189,Flavor Town,Desserts,Chocolate Cake,5,15.15,2025-05-11 11:53:34,31.39,Sharjah,3.4,Talabat
O00078,C1284,Tasty Bites,Pizza,Pepperoni,5,21.8,2025-04-12 17:18:44,71.01,Dubai,4.1,Uber Eats
O00079,C0964,Flavor Town,Pizza,Margherita,5,19.26,2025-02-12 10:34:50,52.46,Dubai,3.3,Zomato
O00080,C0980,Quick Meal,Indian,Paneer Tikka,3,11.95,2025-01-27 19:25:42,21.75,Dubai,4.1,Deliveroo
O00081,C0031,Gourmet Express,Sushi,California Roll,3,17.31,2025-04-25 20:50:23,80.68,Al Ain,4.6,Deliveroo
O00082,C1681,Quick Meal,Pizza,BBQ Chicken,2,35.77,2025-05-19 14:13:27,50.79,Abu Dhabi,4.5,Careem NOW
O00083,C1571,Quick Meal,Chinese,Kung Pao Chicken,1,41.96,2025-01-23 00:58:16,21.24,Al Ain,3.6,Careem NOW
O00084,C1405,Tasty Bites,Indian,Dal Makhani,4,34.01,2025-07-02 11:12:48,52.24,Sharjah,3.5,Careem NOW
O00085,C1687,Flavor Town,Indian,Biryani,1,25.54,2025-06-15 02:07:05,75.35,Al Ain,5.0,Talabat
O00086,C1505,Flavor Town,Sushi,Spicy Tuna,1,12.02,2025-05-24 16:27:46,70.64,Sharjah,4.0,Careem NOW
O00087,C1570,Tasty Bites,Desserts,Brownie,5,11.07,2025-02-21 07:05:26,56.47,Al Ain,4.6,Talabat
O00088,C1682,Quick Meal,Burgers,Veggie Burger,4,17.02,2025-01-27 10:54:28,57.6,Al Ain,2.6,Talabat
O00089,C0892,Quick Meal,Pizza,Pepperoni,1,23.78,2025-05-18 21:46:06,57.33,Dubai,4.6,Deliveroo
O00090,C1455,Gourmet Express,Sushi,California Roll,2,20.17,2025-01-18 03:08:19,72.42,Al Ain,3.8,Careem NOW
O00091,C0436,Tasty Bites,Chinese,Chow Mein,3,32.24,2025-06-21 17:04:21,58.23,Sharjah,3.3,Uber Eats
O00092,C0351,Tasty Bites,Chinese,Kung Pao Chicken,2,39.0,2025-03-02 15:27:53,53.25,Sharjah,2.7,Talabat
O00093,C0331,Quick Meal,Sushi,Spicy Tuna,4,8.25,2025-01-05 18:36:51,85.19,Sharjah,3.6,Uber Eats
O00094,C0888,Quick Meal,Desserts,Cheesecake,4,33.6,2025-05-28 09:00:20,66.85,Abu Dhabi,3.3,Zomato
O00095,C0713,Tasty Bites,Indian,Biryani,2,19.95,2025-07-02 13:28:14,56.85,Abu Dhabi,2.7,Uber Eats
O00096,C0977,Quick Meal,Burgers,Beef Burger,1,36.21,2025-05-23 19:35:14,58.63,Abu Dhabi,3.9,Careem NOW
O00097,C0926,Flavor Town,Pizza,BBQ Chicken,5,8.23,2025-01-19 03:58:30,37.2,Abu Dhabi,3.5,Uber Eats
O00098,C1252,Tasty Bites,Burgers,Chicken Burger,3,21.12,2025-05-10 08:00:36,51.37,Abu Dhabi,2.5,Careem NOW
O00099,C0311,Foodies Hub,Burgers,Cheese Burger,2,34.17,2025-02-19 13:52:46,86.36,Abu Dhabi,3.3,Uber Eats
O00100,C0240,Flavor Town,Indian,Dal Makhani,4,29.48,2025-01-02 09:33:13,40.93,Sharjah,4.6,Zomato
O00101,C0510,Foodies Hub,Indian,Butter Chicken,5,20.37,2025-06-14 22:55:14,16.05,Ajman,4.5,Careem NOW
O00102,C0010,Flavor Town,Indian,Dal Makhani,4,37.2,2025-03-28 04:25:25,34.23,Al Ain,3.6,Deliveroo
O00103,C1785,Gourmet Express,Pizza,Veggie,5,22.03,2025-05-01 23:37:03,47.25,Al Ain,3.9,Talabat
O00104,C1520,Foodies Hub,Desserts,Ice Cream,5,15.45,2025-01-19 04:13:29,88.56,Ajman,4.3,Talabat
O00105,C1875,Flavor Town,Desserts,Ice Cream,1,44.12,2025-02-12 01:19:41,22.29,Ajman,3.8,Deliveroo
O00106,C0006,Tasty Bites,Sushi,Salmon Nigiri,2,29.42,2025-01-31 09:25:45,55.18,Abu Dhabi,4.6,Careem NOW
O00107,C1925,Gourmet Express,Burgers,Beef Burger,3,48.17,2025-02-04 03:28:23,35.0,Abu Dhabi,4.9,Zomato
O00108,C1874,Foodies Hub,Chinese,Sweet and Sour,5,30.95,2025-05-07 01:56:51,85.97,Dubai,3.5,Talabat
O00109,C1797,Foodies Hub,Sushi,Salmon Nigiri,2,45.44,2025-03-12 15:27:07,66.17,Al Ain,3.0,Zomato
O00110,C0977,Tasty Bites,Desserts,Chocolate Cake,3,19.44,2025-02-07 18:33:19,88.76,Al Ain,4.5,Uber Eats
O00111,C0398,Quick Meal,Burgers,Beef Burger,3,16.22,2025-03-31 14:37:28,62.95,Ajman,4.3,Uber Eats
O00112,C1803,Flavor Town,Indian,Biryani,3,7.56,2025-05-19 12:08:30,80.0,Abu Dhabi,4.4,Careem NOW
O00113,C1015,Gourmet Express,Pizza,Veggie,4,16.38,2025-04-17 11:31:20,36.68,Al Ain,4.5,Uber Eats
O00114,C1521,Gourmet Express,Desserts,Chocolate Cake,3,49.62,2025-05-26 00:03:16,50.23,Dubai,3.4,Deliveroo
O00115,C0565,Quick Meal,Burgers,Cheese Burger,5,16.74,2025-04-15 23:33:58,34.74,Ajman,3.5,Zomato
O00116,C1317,Flavor Town,Sushi,California Roll,2,28.87,2025-02-14 14:13:56,77.67,Abu Dhabi,4.4,Uber Eats
O00117,C1862,Gourmet Express,Burgers,Chicken Burger,3,22.1,2025-04-03 23:22:57,81.94,Al Ain,2.8,Talabat
O00118,C0720,Foodies Hub,Indian,Dal Makhani,5,29.85,2025-02-26 13:24:01,57.62,Sharjah,3.2,Uber Eats
O00119,C0849,Tasty Bites,Pizza,Pepperoni,5,16.95,2025-05-28 21:17:07,25.69,Ajman,4.5,Uber Eats
O00120,C0948,Flavor Town,Sushi,California Roll,5,41.58,2025-01-28 17:05:49,76.38,Dubai,3.0,Uber Eats
O00121,C0220,Flavor Town,Chinese,Chow Mein,3,29.5,2025-05-05 23:12:09,22.87,Dubai,3.5,Talabat
O00122,C1935,Tasty Bites,Desserts,Brownie,3,20.7,2025-05-28 23:51:23,63.0,Abu Dhabi,3.2,Talabat
O00123,C0453,Flavor Town,Pizza,Veggie,2,40.45,2025-05-23 19:31:55,77.34,Ajman,4.4,Careem NOW
O00124,C0381,Gourmet Express,Indian,Biryani,5,19.87,2025-05-08 06:36:34,71.99,Sharjah,4.3,Talabat
O00125,C1369,Tasty Bites,Desserts,Brownie,3,17.94,2025-03-15 12:40:51,67.86,Ajman,3.8,Zomato
O00126,C0250,Quick Meal,Chinese,Sweet and Sour,2,48.05,2025-04-15 20:55:26,58.17,Ajman,3.2,Zomato
O00127,C1887,Gourmet Express,Chinese,Spring Rolls,1,32.43,2025-01-23 08:05:00,27.35,Dubai,3.1,Deliveroo
O00128,C1245,Quick Meal,Desserts,Cheesecake,5,11.05,2025-04-03 18:53:30,68.55,Abu Dhabi,4.4,Uber Eats
O00129,C0250,Quick Meal,Burgers,Veggie Burger,4,49.63,2025-06-09 11:11:16,26.67,Al Ain,4.7,Talabat
O00130,C0873,Tasty Bites,Pizza,Pepperoni,1,6.47,2025-03-31 14:57:35,37.32,Al Ain,4.6,Zomato
O00131,C1458,Gourmet Express,Sushi,Veg Roll,1,14.04,2025-04-19 08:41:54,78.95,Abu Dhabi,3.1,Deliveroo
O00132,C1843,Foodies Hub,Sushi,Veg Roll,1,14.07,2025-04-01 09:52:59,68.29,Abu Dhabi,2.8,Zomato
O00133,C1031,Foodies Hub,Chinese,Kung Pao Chicken,2,42.52,2025-04-26 19:44:50,43.58,Ajman,3.8,Zomato
O00134,C1717,Flavor Town,Desserts,Cheesecake,3,30.6,2025-06-26 19:11:54,85.17,Abu Dhabi,4.2,Talabat
O00135,C1096,Tasty Bites,Pizza,Veggie,4,31.6,2025-02-10 05:07:35,51.73,Al Ain,3.1,Zomato
O00136,C1118,Quick Meal,Desserts,Ice Cream,2,21.92,2025-02-20 10:15:17,65.3,Al Ain,4.7,Careem NOW
O00137,C0193,Tasty Bites,Pizza,BBQ Chicken,4,45.69,2025-06-15 07:45:27,71.4,Al Ain,4.3,Zomato
O00138,C0712,Foodies Hub,Indian,Butter Chicken,2,30.93,2025-01-26 15:22:10,55.58,Al Ain,3.2,Deliveroo
O00139,C0009,Quick Meal,Desserts,Cheesecake,1,16.39,2025-05-04 08:28:55,87.6,Ajman,4.4,Uber Eats
O00140,C1655,Foodies Hub,Indian,Biryani,3,7.93,2025-05-09 11:00:32,57.75,Abu Dhabi,3.9,Zomato
O00141,C0459,Foodies Hub,Pizza,BBQ Chicken,1,42.14,2025-07-01 04:14:53,67.67,Abu Dhabi,3.1,Zomato
O00142,C1711,Quick Meal,Chinese,Chow Mein,2,42.55,2025-02-03 20:59:43,38.98,Sharjah,2.7,Zomato
O00143,C1787,Foodies Hub,Indian,Butter Chicken,2,29.29,2025-06-05 17:36:56,68.33,Dubai,2.6,Careem NOW
O00144,C1179,Quick Meal,Chinese,Chow Mein,4,36.37,2025-02-02 00:47:40,49.47,Dubai,5.0,Uber Eats
O00145,C1488,Gourmet Express,Pizza,Pepperoni,1,44.95,2025-04-20 14:59:31,83.86,Dubai,2.8,Careem NOW
O00146,C1007,Quick Meal,Chinese,Chow Mein,1,32.11,2025-03-08 03:15:54,77.68,Dubai,4.6,Careem NOW
O00147,C1940,Tasty Bites,Desserts,Chocolate Cake,5,49.29,2025-03-20 16:48:23,78.92,Sharjah,4.0,Careem NOW
O00148,C0600,Gourmet Express,Burgers,Chicken Burger,3,38.56,2025-02-07 00:26:34,44.54,Sharjah,4.1,Uber Eats
O00149,C0262,Quick Meal,Chinese,Spring Rolls,3,38.1,2025-01-11 21:45:45,21.75,Sharjah,4.0,Careem NOW
O00150,C1252,Tasty Bites,Pizza,Veggie,2,15.44,2025-01-24 21:22:36,66.19,Dubai,3.2,Talabat
O00151,C0885,Quick Meal,Burgers,Beef Burger,3,48.17,2025-06-23 23:30:42,38.84,Sharjah,4.9,Talabat
O00152,C1403,Tasty Bites,Sushi,California Roll,1,7.08,2025-03-11 01:18:39,33.45,Al Ain,4.9,Uber Eats
O00153,C0921,Gourmet Express,Chinese,Spring Rolls,3,24.61,2025-03-19 12:34:31,53.49,Al Ain,4.3,Careem NOW
O00154,C1840,Gourmet Express,Indian,Paneer Tikka,4,26.35,2025-01-19 23:32:37,75.19,Dubai,2.7,Careem NOW
O00155,C0592,Flavor Town,Pizza,Veggie,5,28.14,2025-05-11 13:44:57,68.52,Al Ain,3.8,Uber Eats
O00156,C1408,Flavor Town,Desserts,Ice Cream,1,41.28,2025-03-31 01:31:50,39.26,Ajman,2.9,Deliveroo
O00157,C0301,Quick Meal,Indian,Biryani,5,43.98,2025-05-04 18:40:37,68.43,Sharjah,4.1,Talabat
O00158,C0341,Gourmet Express,Burgers,Chicken Burger,3,40.11,2025-03-31 02:13:45,27.67,Al Ain,4.1,Uber Eats
O00159,C0410,Flavor Town,Indian,Biryani,3,21.19,2025-04-09 03:56:30,22.18,Abu Dhabi,4.1,Talabat
O00160,C0447,Quick Meal,Indian,Paneer Tikka,3,38.4,2025-05-19 22:01:28,32.52,Dubai,2.6,Zomato
O00161,C0843,Gourmet Express,Indian,Paneer Tikka,5,28.14,2025-07-01 10:00:56,21.08,Al Ain,3.3,Careem NOW
O00162,C0019,Flavor Town,Chinese,Spring Rolls,5,37.43,2025-01-09 07:21:13,37.91,Ajman,3.2,Uber Eats
O00163,C1185,Flavor Town,Chinese,Kung Pao Chicken,2,17.58,2025-05-16 12:59:53,22.5,Dubai,2.5,Zomato
O00164,C0374,Foodies Hub,Sushi,Spicy Tuna,5,13.29,2025-04-22 00:48:15,47.32,Ajman,4.0,Zomato
O00165,C1744,Flavor Town,Indian,Biryani,2,43.57,2025-06-25 04:40:05,23.9,Ajman,4.0,Deliveroo
O00166,C1098,Gourmet Express,Sushi,California Roll,3,8.91,2025-06-05 20:51:02,24.69,Sharjah,3.5,Zomato
O00167,C0179,Tasty Bites,Sushi,Veg Roll,1,9.7,2025-06-05 08:04:58,69.26,Abu Dhabi,4.7,Zomato
O00168,C0342,Gourmet Express,Chinese,Sweet and Sour,1,7.7,2025-05-27 03:00:25,71.34,Al Ain,2.7,Talabat
O00169,C0404,Tasty Bites,Sushi,Spicy Tuna,5,13.5,2025-05-03 22:34:40,61.39,Abu Dhabi,3.2,Careem NOW
O00170,C0374,Flavor Town,Desserts,Chocolate Cake,5,41.43,2025-07-01 23:50:41,87.54,Sharjah,2.7,Talabat
O00171,C1605,Gourmet Express,Burgers,Veggie Burger,5,22.24,2025-02-16 03:18:13,71.17,Sharjah,4.6,Zomato
O00172,C0745,Foodies Hub,Pizza,Veggie,4,21.27,2025-02-14 23:56:42,28.15,Al Ain,2.8,Zomato
O00173,C0606,Flavor Town,Desserts,Cheesecake,2,47.18,2025-06-22 15:09:51,20.53,Al Ain,4.3,Talabat
O00174,C1372,Gourmet Express,Desserts,Chocolate Cake,3,49.54,2025-04-28 05:49:58,64.82,Al Ain,3.9,Talabat
O00175,C1065,Gourmet Express,Burgers,Chicken Burger,1,9.94,2025-01-01 03:05:27,49.21,Abu Dhabi,4.6,Uber Eats
O00176,C0671,Tasty Bites,Chinese,Chow Mein,1,11.7,2025-01-14 08:19:41,60.68,Ajman,4.9,Careem NOW
O00177,C1506,Flavor Town,Pizza,Veggie,4,39.69,2025-04-16 06:56:06,80.15,Al Ain,3.1,Zomato
O00178,C0272,Foodies Hub,Pizza,BBQ Chicken,1,32.82,2025-05-30 10:59:00,62.87,Sharjah,3.5,Careem NOW
O00179,C1136,Flavor Town,Chinese,Spring Rolls,1,34.08,2025-03-06 15:51:11,57.78,Ajman,4.2,Deliveroo
O00180,C0610,Tasty Bites,Desserts,Brownie,5,38.1,2025-04-27 00:16:26,84.57,Ajman,3.1,Talabat
O00181,C0593,Quick Meal,Chinese,Chow Mein,2,13.25,2025-04-13 14:59:37,51.18,Al Ain,2.6,Uber Eats
O00182,C1979,Quick Meal,Burgers,Beef Burger,2,23.53,2025-04-26 01:58:08,57.42,Al Ain,2.6,Uber Eats
O00183,C1050,Tasty Bites,Indian,Paneer Tikka,2,17.41,2025-01-03 02:45:08,38.11,Al Ain,4.4,Careem NOW
O00184,C0723,Foodies Hub,Chinese,Sweet and Sour,3,11.64,2025-06-10 03:09:59,17.15,Sharjah,4.8,Uber Eats
O00185,C1362,Foodies Hub,Sushi,Spicy Tuna,5,23.24,2025-03-06 20:35:58,68.2,Abu Dhabi,4.8,Careem NOW
O00186,C1134,Foodies Hub,Desserts,Chocolate Cake,5,6.03,2025-02-14 04:06:06,40.64,Al Ain,4.6,Zomato
O00187,C1841,Foodies Hub,Burgers,Beef Burger,4,23.96,2025-04-09 15:25:03,37.49,Abu Dhabi,4.4,Uber Eats
O00188,C0862,Quick Meal,Chinese,Kung Pao Chicken,3,45.4,2025-05-13 19:34:42,34.29,Sharjah,3.6,Talabat
O00189,C1817,Gourmet Express,Chinese,Chow Mein,3,8.49,2025-05-10 01:13:33,23.05,Dubai,4.9,Deliveroo
O00190,C0987,Gourmet Express,Chinese,Spring Rolls,4,35.17,2025-06-06 18:06:25,70.73,Al Ain,3.8,Deliveroo
O00191,C0674,Flavor Town,Desserts,Cheesecake,2,35.68,2025-06-27 14:06:05,61.13,Al Ain,2.7,Uber Eats
O00192,C0718,Quick Meal,Pizza,Margherita,4,34.76,2025-02-23 22:44:51,59.38,Dubai,4.8,Deliveroo
O00193,C0244,Quick Meal,Burgers,Cheese Burger,4,27.06,2025-05-16 18:12:55,30.25,Dubai,3.5,Uber Eats
O00194,C1864,Quick Meal,Sushi,Spicy Tuna,3,14.41,2025-03-14 07:18:53,87.39,Al Ain,3.3,Uber Eats
O00195,C0904,Flavor Town,Indian,Biryani,1,19.38,2025-05-03 05:58:29,63.12,Al Ain,3.8,Careem NOW
O00196,C0244,Tasty Bites,Pizza,Pepperoni,5,49.13,2025-06-20 21:39:20,37.8,Abu Dhabi,3.2,Careem NOW
O00197,C0157,Foodies Hub,Sushi,Salmon Nigiri,5,19.73,2025-07-02 18:33:01,41.99,Al Ain,3.8,Deliveroo
O00198,C1556,Tasty Bites,Pizza,Pepperoni,3,29.8,2025-03-08 13:40:48,39.71,Ajman,4.6,Deliveroo
O00199,C1603,Gourmet Express,Desserts,Cheesecake,2,10.58,2025-01-19 04:58:04,39.39,Dubai,3.4,Zomato
O00200,C1168,Flavor Town,Indian,Paneer Tikka,5,48.88,2025-01-04 07:46:03,39.63,Sharjah,4.0,Deliveroo
O00201,C0411,Flavor Town,Pizza,Pepperoni,4,22.74,2025-05-23 07:11:18,86.37,Abu Dhabi,4.9,Careem NOW
O00202,C0348,Flavor Town,Sushi,Veg Roll,5,44.67,2025-02-27 06:58:28,17.58,Dubai,4.8,Careem NOW
O00203,C0853,Foodies Hub,Chinese,Kung Pao Chicken,4,26.44,2025-04-21 07:11:37,61.74,Sharjah,3.9,Zomato
O00204,C0264,Foodies Hub,Chinese,Kung Pao Chicken,2,14.84,2025-06-17 14:16:13,18.56,Ajman,4.4,Deliveroo
O00205,C0277,Flavor Town,Sushi,Salmon Nigiri,5,13.22,2025-03-10 02:47:20,62.7,Al Ain,4.7,Careem NOW
